Feature,Mean_Abs_SHAP
NO2_lag_1,14.033892
y_km,1.56709
x_km,0.857592
SO2_lag_1,0.694328
CO_lag_1,0.691003
PM2.5_lag_1,0.310808
Temperature,0.305654
Temperature_lag_1,0.171703
PM10_lag_1,0.169847
Speed_lag_1,0.142018
Humidity_lag_1,0.141966
O3_lag_1,0.136675
Wind Speed_lag_1,0.099462
Humidity,0.098533
Dew Point_lag_1,0.070591
